"panstwo","rok","smiertelnosc_dzieci","emisja_co2","smierci_w_katastrofach","hdi","gdpPerCap","%pracownikow_w_przemysle","przewidywana_dlug_zycia","nowe_przyp_raka_pluc_M","nowe_przyp_raka_pluc_K","sustainable_development_indeks"
"Sao Tome and Principe",2006,58.1,0.522,0,0.543,3070,17.5,67.2,25.3,8.23,58.5
"Sao Tome and Principe",2008,51.2,0.493,0,0.546,3240,17.9,67.9,25.3,8.45,58.8
"Sao Tome and Principe",2010,45.4,0.549,0,0.561,3360,18.1,69,25.9,9.07,60.3
"Sao Tome and Principe",2012,40.4,0.603,0,0.573,3460,18.2,69.3,26.4,9.2,61.7
"Sao Tome and Principe",2014,36.7,0.581,0,0.591,3720,18.2,69.8,27.3,9.92,63.6
"Sao Tome and Principe",2016,33.7,0.595,0,0.608,3880,18.1,70.2,27.6,10.3,65.5
"Sao Tome and Principe",2018,31.2,0.587,0,0.624,3990,17.9,70.7,27.9,10.7,67.2
"Saudi Arabia",1990,44.7,11.4,0,0.697,16700,25.6,68.1,11.1,2.8,59.9
"Saudi Arabia",1992,38.1,16.5,0,0.71,20800,25.5,68.8,11.3,3.25,53.4
"Saudi Arabia",1994,32.9,16.9,0,0.718,21700,24.1,69.2,11.6,3.75,55.8
"Saudi Arabia",1996,28.6,13.6,0,0.726,23600,22.3,69.6,12,4.14,53.4
"Saudi Arabia",1998,25,10.5,0,0.736,25900,21,70,12.1,4.34,52.8
"Saudi Arabia",2000,22.2,14.4,0,0.743,27800,21,70.4,12.3,4.45,44.8
"Saudi Arabia",2002,19.7,14.9,19,0.748,28000,20.9,70.7,12.5,4.56,50.1
"Saudi Arabia",2004,17.6,17.1,5,0.764,35100,20.5,71.1,12.5,4.57,46.9
"Saudi Arabia",2006,15.6,17.6,0,0.777,40100,20.8,71.2,12.3,4.75,41.4
"Saudi Arabia",2008,13.8,16.7,0,0.792,45800,20.4,71.4,12.3,4.98,39
"Saudi Arabia",2010,12.1,18.9,24,0.809,44000,22.3,71.8,12.1,5.08,34.7
"Saudi Arabia",2012,10.6,19.3,19,0.835,48000,23.8,72.6,12,5.14,54
"Saudi Arabia",2014,9.19,19.5,0,0.852,48200,22.7,73.2,11.7,5.26,48.8
"Saudi Arabia",2016,7.95,19.5,24,0.859,48600,24.7,73.7,11.4,5.35,46.5
"Saudi Arabia",2018,7.06,18.4,0,0.854,47600,24.8,74.3,11.1,5.43,45.6
"Senegal",1990,139,0.417,0,0.376,2470,13.1,58.6,17.1,4.3,40.5
"Senegal",1992,137,0.429,0,0.377,2420,12.9,59,16.7,4.27,40.6
"Senegal",1994,139,0.454,0,0.376,2320,12.8,59.2,16.3,4.22,40.5
"Senegal",1996,141,0.411,0,0.379,2370,12.6,59.5,15.2,3.95,40.8
"Senegal",1998,139,0.357,0,0.382,2460,12.4,59.7,14.8,3.85,41.2
"Senegal",2000,131,0.389,0,0.39,2600,12.4,60.6,14.7,3.81,42
"Senegal",2002,117,0.423,28,0.41,2580,12.5,61.4,17.8,4.51,44.1
"Senegal",2004,101,0.462,2,0.426,2710,12.6,62.7,18.1,4.55,45.9
"Senegal",2006,87,0.389,0,0.438,2750,12.7,63.7,18.1,4.62,47.2
"Senegal",2008,75.5,0.395,1,0.457,2780,12.7,65,18.5,4.83,49.3
"Senegal",2010,66.4,0.575,2,0.468,2800,12.8,65.7,17.9,4.79,50.4
"Senegal",2012,59,0.55,19,0.487,2790,12.9,66.2,18.1,4.97,52.4
"Senegal",2014,52.9,0.623,0,0.499,2870,13,66.8,18.8,5.34,53.7
"Senegal",2016,47.7,0.693,5,0.509,3070,13,67.3,19.2,5.6,54.8
"Senegal",2018,43.6,0.739,0,0.516,3310,13.1,68,18.9,5.7,55.5
"Sierra Leone",1990,263,0.113,0,0.287,1450,6.38,51.1,15.5,3.6,30.9
"Sierra Leone",1992,261,0.104,0,0.278,1200,6.23,51.3,14.9,3.52,29.9
"Sierra Leone",1994,258,0.111,0,0.284,1200,6.07,50.8,14.3,3.47,30.7
"Sierra Leone",1996,252,0.0986,12,0.282,1120,5.96,51.8,13.9,3.47,30.4
"Sierra Leone",1998,244,0.0904,0,0.284,1060,5.91,49.8,13.6,3.44,30.6
"Sierra Leone",2000,234,0.0848,0,0.295,1060,5.9,51.6,13.5,3.42,31.8
"Sierra Leone",2002,223,0.108,0,0.326,1160,6.36,52.4,14.2,3.58,35.1
"Sierra Leone",2004,210,0.102,10,0.345,1230,6.22,52.9,15,3.82,37.2
"Sierra Leone",2006,196,0.106,0,0.362,1250,5.82,53.7,15.4,3.99,39
"Sierra Leone",2008,180,0.0873,0,0.386,1350,5.58,54.7,15.4,4.11,41.5
"Sierra Leone",2010,163,0.0897,16,0.399,1410,5.58,56,15.8,4.31,43
"Sierra Leone",2012,145,0.128,0,0.421,1650,5.86,57.4,16,4.51,45.3
"Sierra Leone",2014,129,0.163,0,0.438,1990,6.2,57.1,15.9,4.76,47.1
"Sierra Leone",2016,115,0.127,0,0.431,1600,6.55,60,15.8,4.86,46.4
"Sierra Leone",2018,105,0.141,0,0.447,1660,6.74,61.2,16.1,5.07,48.2
"South Africa",1990,59.2,8.51,12,0.627,11300,28.6,64.2,38,10.1,64.4
"South Africa",1992,57.1,7.8,0,0.642,10400,28.3,63.6,39.7,10.8,66.7
"South Africa",1994,58.2,8.36,2,0.65,10300,28,63.4,40.4,11.1,66.5
"South Africa",1996,62.7,8.62,98,0.65,10700,27.6,61.8,45.7,11.1,66.7
"South Africa",1998,69,8.64,43,0.64,10600,27.3,58,50.1,12.5,65.4
"South Africa",2000,73.9,8.42,94,0.631,11000,27,55.6,46.5,12.1,65
"South Africa",2002,77.4,7.73,42,0.619,11400,26.6,53.7,43.6,11.5,64.2
"South Africa",2004,79.4,9.5,0,0.619,12000,26.3,52.2,40.9,11.2,62.2
"South Africa",2006,76,9.22,12,0.626,13000,25.9,52.3,39.2,11.2,61.6
"South Africa",2008,64.8,9.94,50,0.646,13800,25.2,54.3,37.7,11.3,63.5
"South Africa",2010,52.5,9.16,40,0.664,13600,24.2,57.1,36.9,11.4,65.1
"South Africa",2012,43.3,8.77,13,0.675,13900,23.5,60.1,35.8,11.3,66.4
"South Africa",2014,39.5,8.86,33,0.693,14000,23.8,61.8,35.2,11.5,67.6
"South Africa",2016,36.6,8.46,24,0.703,13900,23.3,62.7,34.5,11.6,68.5
"South Africa",2018,33.8,8.1,0,0.707,13900,22.3,64.4,32.1,10.8,68.9
"South Korea",1990,15.4,5.77,194,0.732,12700,36.8,72.1,43.5,11.4,73.9
"South Korea",1992,13.1,6.44,5,0.75,14600,34,73.1,50,13.2,71.3
"South Korea",1994,11.2,7.69,28,0.772,16700,33.4,73.9,58.9,15.2,66.1
"South Korea",1996,9.64,8.78,104,0.793,19400,31.4,74.8,64.9,17.3,62.9
"South Korea",1998,8.42,7.8,503,0.802,19200,27.5,75.6,69.6,18.3,72.9
"South Korea",2000,7.48,9.41,55,0.823,23000,27.5,76.3,70.6,18.2,59.3
"South Korea",2002,6.71,9.67,225,0.837,25600,27.6,77.3,68.5,17.2,54.1
"South Korea",2004,5.93,9.88,24,0.853,27500,26.7,78.3,68.4,16.3,50
"South Korea",2006,5.15,9.53,46,0.868,30000,25.8,79.3,66.3,16.1,44.8
"South Korea",2008,4.53,10.3,10,0.88,32300,24.5,80.2,65.8,17.2,39.3
"South Korea",2010,4.13,11.4,12,0.889,34400,24.9,80.8,65.3,17.8,36.2
"South Korea",2012,3.85,11.7,22,0.898,36000,27.6,81.5,63.7,17.6,32.2
"South Korea",2014,3.61,11.6,41,0.904,38000,25.3,82.3,62.3,17.5,30.2
"South Korea",2016,3.4,12.1,15,0.91,39800,25.2,82.8,60.3,17.3,28
"South Korea",2018,3.19,12.9,0,0.914,42000,24.5,82.9,59,17.9,27.3
"Spain",1990,9.14,5.9,9,0.761,27500,32.3,77,69.8,5.83,74.4
"Spain",1992,8.31,6.33,0,0.779,28300,31,77.5,71.6,5.87,71.8
"Spain",1994,7.36,6.4,42,0.798,28400,30.2,78,71.6,5.99,75.6
"Spain",1996,6.5,6.39,85,0.813,29700,29.9,78.3,72.2,6.3,73.3
"Spain",1998,5.85,6.86,0,0.821,31900,30.7,79,69.2,6.64,66.2
"Spain",2000,5.44,7.62,38,0.832,34800,31.5,79.5,66.2,7.11,57.1
"Spain",2002,5.14,7.95,6,0.837,36300,30.7,79.9,64.6,7.84,51.6
"Spain",2004,4.86,8.17,29,0.844,37300,29.6,80.3,64.8,8.78,40.8
"Spain",2006,4.54,8.04,25,0.856,38900,29.1,81,64.8,9.47,35.1
"Spain",2008,4.19,7.29,0,0.863,39200,24.6,81.4,66.4,10.9,37.1
"Spain",2010,3.85,6.04,5,0.872,37300,21.8,82.1,65.2,11.6,48.2
"Spain",2012,3.58,5.93,14,0.881,35800,19.8,82.4,64.4,12.5,53.4
"Spain",2014,3.37,5.45,3,0.888,36000,19.9,82.8,61.8,13.2,53.4
"Spain",2016,3.2,5.59,5,0.899,38500,20.1,83,60.7,13.4,47.4
"Spain",2018,3.03,5.75,24,0.905,40300,20.4,83.1,58.5,13.1,46.3
"Sri Lanka",1990,21.9,0.221,33,0.629,3880,26.6,69.6,11.6,3.93,67.7
"Sri Lanka",1992,21.6,0.288,15,0.639,4140,21.1,70.9,10.5,3.75,68.8
"Sri Lanka",1994,20.7,0.301,0,0.65,4580,24.8,72.1,10.4,3.95,70
"Sri Lanka",1996,19.3,0.38,0,0.659,4940,24.3,70.8,11.1,4.15,70.9
"Sri Lanka",1998,17.9,0.417,3,0.673,5440,23.3,71.2,12.4,4.07,72.5
"Sri Lanka",2000,16.5,0.54,10,0.691,5950,23.4,71.5,13.2,3.97,74.4
"Sri Lanka",2002,15.5,0.575,2,0.703,6000,23.7,73.4,13,3.89,75.8
"Sri Lanka",2004,29.1,0.627,35400,0.719,6590,24.4,69,13.7,4.12,77.4
"Sri Lanka",2006,13.6,0.599,25,0.732,7420,25.2,73.6,14.7,4.39,78.8
"Sri Lanka",2008,12.4,0.6,57,0.746,8270,25.8,73.3,16,4.68,80.4
"Sri Lanka",2010,11.6,0.645,35,0.754,9130,25.8,74,16.4,4.97,81.2
"Sri Lanka",2012,10.6,0.77,53,0.766,10700,26,75.5,17,5.1,82.5
"Sri Lanka",2014,9.35,0.852,336,0.773,11400,25.8,76.1,16.6,5.32,83.2
"Sri Lanka",2016,8.23,1.1,203,0.773,12300,28.4,76.6,15.7,5.39,83.2
"Sri Lanka",2018,7.44,1.1,34,0.779,12900,27.9,77.2,15,5.46,83.9
"Suriname",1990,47.9,4.29,0,0.613317443651171,13900,19.3,68.9,19.4,7.59,56.7976987492836
"Suriname",1992,45.1,4.83,0,0.622605432487942,13800,19.4,68.5,20.7,7.87,56.8142676364728
"Suriname",1994,42.3,4.7,0,0.631893421324714,12900,22.2,68.8,20.9,7.57,56.8308365236619
"Suriname",1996,39.6,4.65,0,0.641181410161485,12600,23.2,71.4,17,6.75,56.8474054108511
"Suriname",1998,37,4.58,0,0.650469398998256,13300,25.2,70.8,18.8,6.94,56.8639742980402
"Suriname",2000,34.4,4.66,0,0.659757387835027,13100,24.7,69.8,20.8,7.55,56.8805431852294
"Suriname",2002,32.1,3.24,0,0.6690453766718,13700,24.3,69.5,22,8.24,56.8971120724186
"Suriname",2004,30,3.16,0,0.682,15400,24.1,70.1,21.5,8.52,70.9
"Suriname",2006,28.2,3.44,3,0.691,16600,24.4,71.2,20.4,8.43,71.2
"Suriname",2008,26.4,3.75,2,0.701,17800,24.5,71.7,20.4,8.47,71.1
"Suriname",2010,24.7,4.53,0,0.71,18800,25,72.3,20.3,8.55,71.3
"Suriname",2012,23,4.16,0,0.729,20000,25.1,73.1,20,8.66,70.5
"Suriname",2014,21.6,4.03,0,0.735,20200,25,72.7,21.5,9.08,69.5
"Suriname",2016,20.2,3.05,0,0.735,18200,24.3,72.4,21.7,9.58,68.8
"Suriname",2018,18.9,3.1,0,0.734,19000,24.3,72.6,21.6,9.8,68.4
"Sweden",1990,6.96,6.71,0,0.821,34200,26.6,78,29.8,13.7,72.1
"Sweden",1992,6.18,6.61,0,0.826,33000,25.6,78.3,29.3,14.4,69.8
"Sweden",1994,5.22,6.8,0,0.855,33100,25.5,78.8,28.2,14.8,75.5
"Sweden",1996,4.54,7.13,0,0.869,34700,25.5,79.3,28.1,16.3,66.2
"Sweden",1998,4.22,6.62,0,0.894,37300,25,79.6,28.1,17,64.2
"Sweden",2000,4.1,6.16,0,0.903,40600,23.7,80,27.3,18.4,62.6
"Sweden",2002,3.99,6.35,1,0.908,41900,22.6,80.3,27,19,55.9
"Sweden",2004,3.75,6.28,0,0.901,44400,22,80.7,27.3,20.2,42.6
"Sweden",2006,3.45,5.9,0,0.908,47300,21.6,81.1,25.6,20.5,37.1
"Sweden",2008,3.21,5.49,0,0.907,48000,20.2,81.5,24.9,21,36.9
"Sweden",2010,3.06,5.63,0,0.911,47800,19.9,81.9,24.2,20.7,36.8
"Sweden",2012,2.97,4.86,0,0.914,48300,19.2,82.1,23.4,21.3,33.9
"Sweden",2014,2.91,4.46,0,0.935,49300,18.3,82.5,22.4,21.6,33.4
"Sweden",2016,2.83,4.33,0,0.94,51300,18.2,82.6,21.2,21.2,32.6
"Sweden",2018,2.71,4.12,0,0.943,52300,18.4,82.7,21.1,21.2,32.4
"Switzerland",1990,8.19,6.64,5,0.84,56300,29.2,77.9,71.9,15.6,66.9
"Switzerland",1992,7.47,6.78,0,0.845,54500,27.3,78.4,67.7,15.8,63.6
"Switzerland",1994,6.7,6.16,0,0.852,54200,28.4,79,61.4,14.9,62.7
"Switzerland",1996,6.14,6.27,0,0.863,54100,25.4,79.3,54.8,15.1,60.9
"Switzerland",1998,5.82,6.3,0,0.882,56700,24.7,79.9,54.4,15.6,61
"Switzerland",2000,5.64,6.11,16,0.898,59400,24.5,80.3,52.7,15.2,52.9
"Switzerland",2002,5.44,6.02,5,0.899,59500,22.4,80.9,50,18,42.8
"Switzerland",2004,5.2,6.18,0,0.909,60300,22.5,81.4,48.5,19.3,36.7
"Switzerland",2006,4.94,6.09,1,0.92,63700,22.5,81.9,46.1,20.6,30.8
"Switzerland",2008,4.72,5.87,0,0.925,66600,22.1,82.4,44,21.3,29.7
"Switzerland",2010,4.55,5.77,0,0.941,65800,22.3,82.8,42.1,21.7,31
"Switzerland",2012,4.44,5.28,11,0.944,66400,21.8,83.1,39.9,22,28.4
"Switzerland",2014,4.36,4.78,2,0.942,67700,20.8,83.5,38,21.2,26.8
"Switzerland",2016,4.27,4.68,0,0.947,68700,20.5,83.8,35,20.6,25.8
"Switzerland",2018,4.12,4.33,0,0.955,70600,20.3,83.9,34,20.1,25.7
"Syria",1990,37.3,2.98,0,0.55,10600,25.2,68.8,15.2,4.41,59.3
"Syria",1992,34.1,3.23,0,0.56,11600,26.7,68.6,15.9,4.86,60.3
"Syria",1994,31.1,3.31,0,0.572,11600,30.5,69.5,15.4,5.06,61.6
"Syria",1996,28.3,2.87,0,0.582,11100,29.1,70.1,15.4,5.51,62.7
"Syria",1998,25.7,3.19,0,0.588,10200,28.3,70.4,15.7,5.99,63.3
"Syria",2000,23.5,3.08,0,0.6,8910,25.7,71.6,15.2,6.08,64.6
"Syria",2002,21.4,2.25,80,0.607,8750,25.6,72.8,14.8,5.54,65.4
"Syria",2004,19.7,2.83,5,0.636,8200,27.2,74.1,14.1,5.25,68.5
"Syria",2006,18.1,2.77,6,0.662,8020,29.1,74.5,14.2,5.25,71.2
"Syria",2008,16.7,3.24,0,0.676,7670,30.7,74.4,15.6,5.56,72.4
"Syria",2010,16.1,2.84,0,0.672,7580,31.4,74.7,16.5,6.4,72
"Syria",2012,17.8,2.14,0,0.664,5610,25,65.8,16.4,6.58,71.2
"Syria",2014,17.6,1.61,0,0.556,4110,22.8,63.6,16.1,6.6,59.7
"Syria",2016,17.6,1.63,0,0.528,3590,22.4,64.3,15.8,6.56,56.5
"Syria",2018,16.7,1.67,0,0.563,3890,23.2,73.2,15.5,6.6,60.2
"Tajikistan",1990,102,1.92,0,0.617,4090,23.9,66.9,32.7,8.57,56.7314232005269
"Tajikistan",1992,109,1.33,1600,0.592,2590,21.6,63.4,29.8,7.93,63.8
"Tajikistan",1994,114,0.414,0,0.556,1650,19.2,64.2,25.3,7.13,59.9
"Tajikistan",1996,108,0.483,0,0.535,1170,17.4,64.1,21.6,5.53,57.6
"Tajikistan",1998,96.8,0.414,62,0.544,1220,16.6,65.7,18.8,5.23,58.6
"Tajikistan",2000,83.9,0.359,0,0.555,1330,16.7,66.6,17.6,5.29,59.8
"Tajikistan",2002,71.5,0.292,35,0.573,1560,17.6,67,17.7,5.51,61.7
"Tajikistan",2004,60.7,0.383,0,0.6,1840,17.3,67.5,18.5,6.17,64.7
"Tajikistan",2006,52.4,0.381,25,0.617,2020,16.4,67.6,19.4,6.27,66.5
"Tajikistan",2008,46.8,0.4,0,0.639,2260,15.7,67.9,19.7,6.43,68.9
"Tajikistan",2010,43.2,0.334,75,0.638,2390,15.5,68,19.5,6.5,68.7
"Tajikistan",2012,40.8,0.369,3,0.643,2640,15.5,68.3,19.1,6.73,69.2
"Tajikistan",2014,38.7,0.545,20,0.652,2880,15.5,68.6,18.6,6.6,70.3
"Tajikistan",2016,36.9,0.596,4,0.653,3110,15.4,68.6,18.5,6.67,70.4
"Tajikistan",2018,34.8,0.603,6,0.661,3420,15.9,69.2,18,6.8,71.2
"Tanzania",1990,166,0.0838,189,0.368,1390,2.65,55.3,13.2,3.54,39.6
"Tanzania",1992,162,0.0808,0,0.367,1340,2.63,54.1,13.3,3.52,39.5
"Tanzania",1994,159,0.0717,35,0.366,1290,2.62,53.2,13.4,3.53,39.5
"Tanzania",1996,153,0.0831,0,0.369,1320,2.64,52.7,13.4,3.5,39.7
"Tanzania",1998,144,0.0778,61,0.377,1350,2.74,52.6,13.6,3.6,40.6
"Tanzania",2000,130,0.0768,37,0.39,1410,2.96,53.4,13.6,3.52,42
"Tanzania",2002,114,0.0988,11,0.407,1520,3.76,54.6,13.5,3.48,43.8
"Tanzania",2004,100,0.113,10,0.426,1650,4.84,55.9,13.7,3.63,45.8
"Tanzania",2006,89.2,0.149,0,0.447,1780,5.56,57.3,13.7,3.73,48.1
"Tanzania",2008,79.9,0.142,73,0.465,1900,5.72,59.6,13.7,3.88,50.1
"Tanzania",2010,72.3,0.154,0,0.481,2010,5.92,61.1,13.6,4.04,51.8
"Tanzania",2012,66,0.196,10,0.496,2130,6.13,62.7,13.6,4.25,53.4
"Tanzania",2014,61.4,0.225,31,0.504,2290,6.29,64.5,13.5,4.34,54.3
"Tanzania",2016,57,0.219,33,0.52,2440,6.38,65.5,13.3,4.42,56
"Tanzania",2018,53,0.222,15,0.524,2590,6.46,66.7,13.6,4.67,56.4
"Thailand",1990,36.9,1.58,36,0.577,7100,15.4,71.3,41.4,18.3,62.1
"Thailand",1992,33.1,1.87,6,0.592,8150,17.5,71.3,42.8,19.5,63.8
"Thailand",1994,29.8,2.29,130,0.607,9360,19.8,70.9,43.5,19.8,65.4
"Thailand",1996,26.8,2.89,100,0.622,10500,19.7,70.6,44.4,20.7,66.5
"Thailand",1998,24.2,2.59,0,0.633,9180,18.4,71.8,43.2,19.7,68.2
"Thailand",2000,21.9,2.71,109,0.652,9810,18.8,71.8,43.6,19.4,70.3
"Thailand",2002,19.8,3,190,0.669,10600,21.1,73.1,38.9,17.6,71.9
"Thailand",2004,17.9,3.36,8380,0.686,11900,22.4,73.7,38.1,16.9,72.7
"Thailand",2006,16.2,3.46,280,0.697,12800,21.9,75.4,37.1,16.4,72.9
"Thailand",2008,14.7,3.43,39,0.718,13600,20.8,76.5,36,15.9,74.3
"Thailand",2010,13.3,3.82,258,0.724,14400,19.4,77,35.6,15.4,74
"Thailand",2012,12.1,3.99,0,0.737,15400,20.2,77.7,33.9,14.7,73.4
"Thailand",2014,11,4.07,93,0.742,15900,23.7,78.1,32.1,13.8,72
"Thailand",2016,9.98,4.07,35,0.756,16800,22.8,78,31.8,13.6,72.2
"Thailand",2018,9.1,4.15,0,0.772,18100,22.8,78.3,31.9,14,73.2
"Togo",1990,145,0.258,0,0.406,1790,15,58,16.1,4.99,43.7
"Togo",1992,141,0.261,0,0.4,1630,14.8,58.1,16.1,4.99,43.1
"Togo",1994,137,0.244,0,0.397,1520,14.6,57.7,16.1,4.88,42.7
"Togo",1996,132,0.291,0,0.418,1700,14.5,57.2,16.4,4.81,45.1
"Togo",1998,126,0.279,0,0.425,1780,14.2,56.6,16.9,4.77,45.7
"Togo",2000,120,0.271,0,0.427,1700,14,56.4,17.2,4.7,46
"Togo",2002,113,0.255,0,0.433,1690,13.7,56.3,18.1,4.74,46.6
"Togo",2004,107,0.319,0,0.439,1690,13.2,56.7,18.7,4.73,47.3
"Togo",2006,101,0.261,0,0.444,1570,12.9,57.5,19,4.74,47.8
"Togo",2008,95.1,0.251,6,0.447,1530,12.7,58.1,19.6,4.9,48.2
"Togo",2010,89.6,0.405,22,0.466,1630,12.6,59.5,19.8,5.06,50.2
"Togo",2012,84.3,0.327,0,0.482,1750,12.7,60.8,19.4,5.16,51.9
"Togo",2014,79.3,0.305,0,0.493,1860,14.7,61.8,19.1,5.28,53.1
"Togo",2016,74.4,0.408,0,0.502,1980,19.4,63,19.1,5.52,54.1
"Togo",2018,69.8,0.434,0,0.51,2060,19.2,64.5,19.1,5.78,54.9
"Trinidad and Tobago",1990,30.4,13.9,0,0.668,10100,28.8,69.6,19.3,4.98,69.8
"Trinidad and Tobago",1992,29.6,15.5,0,0.67,11300,26.4,69.7,19.4,5.12,70.2
"Trinidad and Tobago",1994,29.1,13.9,0,0.676,11500,25.5,69.2,19.5,5.08,71
"Trinidad and Tobago",1996,28.8,16.3,0,0.687,12700,26.4,69.5,19.5,5.09,71.8
"Trinidad and Tobago",1998,28.7,15.1,0,0.694,14700,27.7,69.9,18.7,5.09,72.2
"Trinidad and Tobago",2000,28.7,18.8,0,0.717,16900,28.9,70.5,17.7,4.74,74.7
"Trinidad and Tobago",2002,28.4,22.4,0,0.726,18900,28.6,71.2,17.7,4.67,73.2
"Trinidad and Tobago",2004,27.4,25.9,3,0.75,23100,31.1,71.6,18.1,4.59,74.5
"Trinidad and Tobago",2006,26.2,32.7,0,0.763,27500,31.8,72.5,17.4,4.63,73.9
"Trinidad and Tobago",2008,24.8,33.7,0,0.778,29500,30.5,72.4,18.8,5.14,73.6
"Trinidad and Tobago",2010,23.4,36,0,0.784,28900,28.6,73.7,17.7,5.1,75.5
"Trinidad and Tobago",2012,22.1,33.7,0,0.78,28800,28.7,75.1,16.1,4.92,75
"Trinidad and Tobago",2014,20.8,33.9,0,0.785,28800,27.9,74.9,16,5.07,73.6
"Trinidad and Tobago",2016,19.5,31.8,0,0.792,27300,27.1,74.8,16.2,5.02,73.8
"Trinidad and Tobago",2018,18.3,31.3,0,0.795,26300,26.7,74.8,16.1,5.02,74.2
"Tunisia",1990,55.5,1.59,37,0.567,5800,30.6,72.3,34.7,2.54,61.1
"Tunisia",1992,50.6,1.73,0,0.581,6210,30.8,72.5,36.6,2.68,62.6
"Tunisia",1994,45.5,1.76,0,0.598,6290,30.7,73,37,2.74,64.4
"Tunisia",1996,40.1,1.79,0,0.614,6680,31,73.3,38,2.95,66.1
"Tunisia",1998,34.7,1.87,0,0.632,7190,31.5,73.8,39,3.14,68.1
"Tunisia",2000,30,2.03,0,0.651,7820,31.9,74.3,39,3.24,70.1
"Tunisia",2002,26.2,2.08,0,0.664,8090,31.9,74.7,37.8,3.32,71.6
"Tunisia",2004,23.3,2.19,0,0.681,8860,32.4,75.1,36.3,3.38,73.3
"Tunisia",2006,21.1,2.22,0,0.694,9480,32.9,75.5,36.4,3.5,74.7
"Tunisia",2008,19.4,2.34,0,0.707,10300,32.3,75.9,36.2,3.63,75.7
"Tunisia",2010,18.4,2.55,0,0.716,10800,33.7,76.2,36.1,3.74,76.6
"Tunisia",2012,17.7,2.43,0,0.72,10800,33.4,76.5,35.8,3.83,77
"Tunisia",2014,17.3,2.52,0,0.726,11100,33.1,76.8,35.8,3.92,77.4
"Tunisia",2016,17.1,2.57,0,0.731,11100,33.3,77.2,35.7,4.01,77.7
"Tunisia",2018,17,2.73,13,0.738,11400,33.4,77.5,35.7,4.09,78.4
"Turkey",1990,73.9,2.81,69,0.583,12600,29.7,68.8,70.3,8.23,62.8
"Turkey",1992,65.6,2.94,914,0.594,12900,29.5,69.6,66.3,8.36,63.6
"Turkey",1994,58.1,2.91,30,0.603,12800,29,70.4,62.1,8.29,64.6
"Turkey",1996,50.9,3.36,0,0.62,14400,29,71.5,57.1,7.97,65.8
"Turkey",1998,44.1,3.46,239,0.64,15400,27.7,72.7,51.6,7.64,67.4
"Turkey",2000,37.9,3.64,16,0.66,15400,26.5,74.7,42.9,7.2,69.3
"Turkey",2002,32.3,3.39,86,0.677,15000,26.2,75.2,40.9,6.85,71.7
"Turkey",2004,27.5,3.65,85,0.69,17000,26.6,76.3,40.6,6.86,71.6
"Turkey",2006,23.4,4.1,59,0.704,19300,26.7,77,44.5,7.56,70.3
"Turkey",2008,20,4.4,2,0.714,19900,25.3,77,51.5,8.66,68.8
"Turkey",2010,17.3,4.35,64,0.739,20000,26.5,76.7,61.7,9.96,69.7
"Turkey",2012,15.2,4.74,13,0.765,22600,26.4,77,64.5,10.4,67.6
"Turkey",2014,13.4,4.69,0,0.796,24900,27.2,77.1,64.1,10.7,68
"Turkey",2016,11.9,5.03,0,0.808,26400,26.5,77.5,61.3,10.8,67.4
"Turkey",2018,10.6,5.2,24,0.817,28300,25.3,78.1,58.6,11,67.3
"Uganda",1990,185,0.044,0,0.32,914,7.87,48.5,9.82,2.34,34.5
"Uganda",1992,177,0.0432,0,0.313,933,7.86,47.9,10.3,2.36,33.7
"Uganda",1994,170,0.036,7,0.322,1010,7.87,47.9,10.8,2.49,34.7
"Uganda",1996,165,0.0495,0,0.344,1150,7.89,48.1,11.1,2.69,37
"Uganda",1998,159,0.0557,0,0.373,1200,7.88,48.7,11.1,2.93,40.2
"Uganda",2000,148,0.0593,0,0.404,1260,7.84,49.6,11.2,3.23,43.5
"Uganda",2002,133,0.06,96,0.427,1360,7.8,51,11,3.45,46
"Uganda",2004,117,0.0627,0,0.436,1450,7.75,52.6,10.9,3.65,47
"Uganda",2006,102,0.0865,3,0.456,1600,7.78,55.5,10.9,3.84,49.1
"Uganda",2008,88.5,0.1,49,0.479,1770,7.8,57.6,10.8,3.84,51.5
"Uganda",2010,77.4,0.116,388,0.498,1870,7.94,59.3,10.9,3.94,53.7
"Uganda",2012,67.3,0.112,18,0.507,2000,7,61.4,11,4.14,54.6
"Uganda",2014,58.5,0.123,0,0.519,2040,6.8,63.2,11,4.42,55.9
"Uganda",2016,51.2,0.136,19,0.529,2090,6.59,64,10.9,4.57,57
"Uganda",2018,46.4,0.135,51,0.538,2130,6.5,65.7,10.8,4.78,57.9
"Ukraine",1990,19.4,13.7,0,0.725,16400,29.3,70.6,90.7,12.7,56.6982854261486
"Ukraine",1992,19.5,11.5,0,0.713,13400,28.1,69.2,96.3,12.7,73.4
"Ukraine",1994,20.1,8.2,0,0.69,8940,26.7,67.9,95.4,12.4,71.9
"Ukraine",1996,20.4,6.95,0,0.684,7180,25.5,67.3,93.4,11.8,71.9
"Ukraine",1998,19.8,6.61,18,0.688,6960,24.7,68.7,78.3,10.6,72.9
"Ukraine",2000,18.4,5.85,10,0.694,7500,24.5,68,78.8,10.1,73.6
"Ukraine",2002,16.7,6.17,0,0.717,8770,24.7,68.1,71.2,9.01,75.6
"Ukraine",2004,15.1,6.58,0,0.732,10900,25.2,68,65.7,8.21,76.4
